City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
arifwala,10,PK,1589461852,28,30.29,73.07,35.68,6.18
te anau,30,NZ,1589461852,85,-45.42,167.72,4.99,0.22
egvekinot,96,RU,1589461853,95,66.32,-179.17,-5.31,6.54
cidreira,0,BR,1589461853,71,-30.18,-50.21,15.92,5.73
clyde river,90,CA,1589461853,100,70.47,-68.59,-5,1.5
berezovyy,92,RU,1589461853,86,51.67,135.7,6.64,1.36
ahuimanu,90,US,1589461854,78,21.44,-157.84,25,1.5
yumen,1,CN,1589461854,26,40.28,97.2,18.89,2.17
sibu,75,MY,1589461854,94,2.3,111.82,27,1
lavrentiya,100,RU,1589461854,96,65.58,-171,-0.57,2.59
kaduqli,0,SD,1589461854,6,11.02,29.72,43.97,0.66
ust-nera,25,RU,1589461855,88,64.57,143.2,1.15,0.95
naze,20,JP,1589461855,83,28.37,129.48,22,3.1
jacobina,66,BR,1589461855,71,-11.18,-40.52,24.63,2.68
sohag,75,EG,1589461611,15,26.56,31.69,39,3.6
thakurgaon,26,BD,1589461855,33,26.03,88.47,32.84,3.24
borovskoy,100,KZ,1589461856,84,53.8,64.15,15.06,8.22
yerbogachen,99,RU,1589461856,71,61.28,108.01,3.68,2.81
muros,100,ES,1589461856,68,42.78,-9.06,17.78,3.58
lasa,75,IT,1589461856,58,46.62,10.7,12,3.6
edd,0,ER,1589461857,33,13.93,41.69,36.84,7.71
hualmay,35,PE,1589461857,80,-11.1,-77.61,20.19,3.59
miramar,75,US,1589461838,61,25.99,-80.23,26,7.7
wolfville,5,CA,1589461633,36,45.08,-64.37,7.22,7.7
hay river,75,CA,1589461858,62,60.82,-115.8,-7,3.1
tvoroyri,0,FO,1589461858,70,61.56,-6.81,9,8.2
the valley,20,AI,1589461775,61,18.22,-63.06,28.33,6.2
montrose,1,US,1589461858,37,38.42,-108.27,12,2
inirida,100,CO,1589461858,98,3.87,-67.92,22.67,1.17
puerto escondido,40,MX,1589461859,74,15.85,-97.07,26,1.86
kapit,96,MY,1589461859,80,2.02,112.93,26.13,0.49
lazaro cardenas,49,MX,1589461859,82,17.96,-102.2,22.64,2.11
isangel,20,VU,1589461859,94,-19.55,169.27,20,3.15
vila velha,25,BR,1589461859,69,-20.33,-40.29,27.78,3.1
la ciotat,91,FR,1589461860,62,43.17,5.6,21.67,2.68
praia,40,CV,1589461860,57,14.92,-23.51,26,10.3
hamilton,75,US,1589461860,93,39.18,-84.53,13,2.9
yar-sale,100,RU,1589461861,95,66.83,70.83,3.8,5.72
whitianga,8,NZ,1589461861,92,-36.83,175.7,11.67,2.7
kaitangata,1,NZ,1589461861,70,-46.28,169.85,8.89,2.68
santa maria,40,BR,1589461862,100,-29.68,-53.81,11,1
iberia,90,US,1589461862,94,29.95,-91.75,23,3.1
cap malheureux,7,MU,1589461862,72,-19.98,57.61,25,2.24
paamiut,6,GL,1589461862,91,61.99,-49.67,3.9,0.88
silly,0,BE,1589461862,32,50.64,3.96,13.89,6.7
cehegin,96,ES,1589461863,52,38.09,-1.8,21.11,2.68
parksville,89,CA,1589461646,97,49.32,-124.32,8.33,1.4
coloso,100,CO,1589461863,82,9.49,-75.36,27,2.16
vanimo,67,PG,1589461863,81,-2.67,141.3,26.59,2.13
sherbakul,75,RU,1589461864,19,54.63,72.4,30,3
misratah,0,LY,1589461864,14,32.38,15.09,35.16,6.08
maple creek,56,CA,1589461864,62,49.92,-109.48,6.61,2.39
luorong,0,CN,1589461864,81,24.41,109.61,26.1,4.15
kysyl-syr,100,RU,1589461864,93,63.9,122.76,4.03,4.02
puerto del rosario,40,ES,1589461645,53,28.5,-13.86,23,9.3
sao felix do xingu,77,BR,1589461865,67,-6.64,-51.99,28.76,1.65
maceio,75,BR,1589461865,79,-9.67,-35.74,29,3.6
abu dhabi,0,AE,1589461865,43,24.47,54.37,33,4.6
hobyo,100,SO,1589461865,69,5.35,48.53,30.54,8.94
emerald,99,AU,1589461863,52,-23.53,148.17,19,2.1
hovd,35,MN,1589461866,22,48.01,91.64,21.7,4.96
monte alegre de minas,100,BR,1589461866,77,-18.87,-48.88,19,1
cayenne,90,GF,1589461658,78,4.93,-52.33,28,4.6
huarmey,58,PE,1589461866,79,-10.07,-78.15,20.53,2.32
porto velho,75,BR,1589461586,94,-8.76,-63.9,24,2.1
komsomolskiy,100,UZ,1589461867,32,40.43,71.72,20,8.2
ivanivka,99,UA,1589461867,47,46.72,34.55,21.83,6.86
hailar,0,CN,1589461867,47,49.2,119.7,7.98,2.62
thinadhoo,100,MV,1589461741,81,0.53,72.93,28.4,12.82
san patricio,75,MX,1589461867,72,19.22,-104.7,20,1.48
larsnes,75,NO,1589461868,52,62.2,5.58,6.11,3.6
harnoli,43,PK,1589461686,38,32.28,71.55,32.32,4.94
pochutla,90,MX,1589461868,78,15.74,-96.47,26,0.89
noumea,75,NC,1589461616,93,-22.28,166.46,17,1
dakar,0,SN,1589461679,69,14.69,-17.44,25,3.1
hambantota,90,LK,1589461869,100,6.12,81.12,26,2.6
port blair,100,IN,1589461869,79,11.67,92.75,27.9,4.27
hofn,75,IS,1589461869,57,64.25,-15.21,9,6.2
la ronge,20,CA,1589461869,52,55.1,-105.28,8,4.6
grants,1,US,1589461869,52,35.15,-107.85,6,3.1
paka,93,MY,1589461870,94,4.64,103.44,28,1
yeppoon,5,AU,1589461870,77,-23.13,150.73,19,1.5
mala,69,PE,1589461870,75,-12.66,-76.63,20.7,1.19
askarovo,75,RU,1589461870,30,53.34,58.51,21,18
maniitsoq,100,GL,1589461871,81,65.42,-52.9,4.78,4.99
salalah,4,OM,1589461871,70,17.02,54.09,32,6.7
boyolangu,100,ID,1589461871,85,-8.12,111.89,25.27,4.51
beloha,6,MG,1589461871,60,-25.17,45.05,22.9,5.15
carutapera,100,BR,1589461871,68,-1.2,-46.02,30.08,2.42
port moresby,20,PG,1589461832,83,-9.44,147.18,26,5.1
novo aripuana,65,BR,1589461872,78,-5.12,-60.38,28.1,0.85
kerman,0,IR,1589461872,10,30.28,57.08,27,3.1
poya,1,NC,1589461872,78,-21.35,165.15,19.8,1.18
okha,100,RU,1589461872,96,53.57,142.95,0.41,5.36
acajutla,100,SV,1589461872,100,13.59,-89.83,22.22,4.51
konskie,73,PL,1589461873,1,51.19,20.41,15.56,0.91
wairoa,100,NZ,1589461873,99,-39.03,177.37,11.67,1.79
kirkwall,75,GB,1589461873,71,58.98,-2.96,10,10.3
scottsbluff,1,US,1589461873,76,41.87,-103.67,11.11,2.1
san quintin,100,MX,1589461874,83,30.48,-115.95,15.77,6.39
vidim,84,RU,1589461874,62,56.41,103.11,4.82,4.15
tasiilaq,20,GL,1589461874,74,65.61,-37.64,1,6.2
calama,0,CL,1589461874,22,-22.47,-68.93,8,10.3
mersing,81,MY,1589461874,79,2.43,103.84,29,1.22
ust-tsilma,100,RU,1589461874,47,65.44,52.15,9.74,5.58
filiatra,0,GR,1589461875,16,37.15,21.58,31,3.6
trenggalek,100,ID,1589461875,86,-8.05,111.72,24.78,2.95
ngunguru,40,NZ,1589461875,97,-35.62,174.5,12.78,2.24
jalalabad,75,AF,1589461875,68,34.43,70.45,22,1.5
los llanos de aridane,75,ES,1589461876,46,28.66,-17.92,23,3.1
moa,24,CU,1589461876,77,20.66,-74.94,27.08,5.11
fairbanks,1,US,1589461876,38,64.84,-147.72,4,3.1
srednekolymsk,35,RU,1589461876,80,67.45,153.68,4.55,4.12
belomorsk,7,RU,1589461877,46,64.52,34.77,9.72,6.06
contamana,10,PE,1589461877,81,-7.33,-75.02,25.64,0.66
brae,40,GB,1589461877,70,60.4,-1.35,9,5.7
boa vista,90,BR,1589461878,83,2.82,-60.67,26,2.92
roros,100,NO,1589461878,47,62.57,11.38,2,6.7
ca mau,2,VN,1589461878,72,9.18,105.15,29.3,1.37
biswan,0,IN,1589461878,16,27.5,81,39.16,5.25
bosobolo,100,CD,1589461879,69,4.18,19.9,29.82,1.3
kieta,3,PG,1589461879,77,-6.22,155.63,26.28,1.19
darhan,97,MN,1589461879,35,49.49,105.92,18.21,1.44
viedma,96,AR,1589461842,51,-40.81,-63,9.33,9.39
cervo,100,ES,1589461880,1,43.67,-7.41,13.33,2.68
kushtagi,46,IN,1589461880,20,15.77,76.2,36.37,3.98
faya,75,SA,1589461880,39,18.39,42.45,27,5.1
nobres,100,BR,1589461880,86,-14.72,-56.33,23.63,1.97
ahipara,96,NZ,1589461881,87,-35.17,173.17,13.33,2.58
auki,100,SB,1589461881,85,-8.77,160.7,26.24,2
michigan city,90,US,1589461881,100,41.71,-86.89,13.33,3.6
massillon,90,US,1589461881,58,40.8,-81.52,12.78,5.1
luena,20,AO,1589461881,26,-11.78,19.92,27.89,2.17
belmonte,20,BR,1589461881,69,-15.86,-38.88,27,1
cajazeiras,2,BR,1589461882,61,-6.89,-38.56,28.44,2.89
gat,0,IL,1589461620,55,31.61,34.76,30,1.79
brewster,1,US,1589461882,52,41.4,-73.62,11.67,0.35
thoen,100,TH,1589461883,65,17.61,99.22,27.66,0.55
manokwari,7,ID,1589461883,76,-0.87,134.08,27.76,1.28
khokhlovo,100,RU,1589461883,74,59.15,37.4,7.51,5.5
aranos,0,NA,1589461884,17,-24.13,19.12,25.89,4.45
roald,75,NO,1589461884,56,62.58,6.13,5.56,4.6
zhangye,100,CN,1589461799,32,38.93,100.45,17.66,6.73
madang,72,PG,1589461884,88,-5.22,145.8,26.63,1.53
soyo,75,AO,1589461884,66,-6.13,12.37,32,2.1
lagos,75,NG,1589461885,63,6.58,3.75,33,7.2
montana,4,BG,1589461885,45,43.41,23.23,30.9,1.42
manggar,58,ID,1589461885,81,-2.88,108.27,28.27,4.34
labuhan,100,ID,1589461885,81,-6.88,112.21,27.37,2.44
pantelho,40,MX,1589461886,94,16.93,-92.55,21,2.6
dingle,100,PH,1589461886,79,11,122.67,27.69,1.11
high level,1,CA,1589461772,67,58.52,-117.14,-7,4.1
mahibadhoo,100,MV,1589461886,76,3.78,72.97,29.17,8.03
celestun,0,MX,1589461886,82,20.87,-90.4,26.25,4.21
latung,100,PH,1589461886,72,5.5,120.88,29.52,1.68
itoman,75,JP,1589461887,88,26.12,127.67,24,6.2
smithers,75,CA,1589461887,70,54.78,-127.17,8,2.1
padang,100,ID,1589461887,78,-0.95,100.35,28,0.75
port shepstone,0,ZA,1589461887,60,-30.74,30.45,21.22,5.26
sur,0,OM,1589461888,51,22.57,59.53,30.15,5.08
abalak,91,RU,1589461888,43,58.13,68.59,25.16,1.47
andenes,75,NO,1589461888,60,69.31,16.12,4,3.1
itaituba,40,BR,1589461888,88,-4.28,-55.98,27,2.6
saint-joseph,90,RE,1589461889,61,-21.37,55.62,26,2.1
miraflores,40,MX,1589461889,76,19.22,-98.81,16.67,1.5
batagay-alyta,98,RU,1589461889,97,67.8,130.41,-0.12,0.53
amapa,78,BR,1589461890,85,1,-52,26.78,1.12
lima,90,PE,1589461731,93,-12.04,-77.03,17,1.5
tiznit,100,MA,1589461890,61,29.58,-9.5,17.28,6.68
srivardhan,5,IN,1589461890,72,18.03,73.02,30.18,4.16
poum,22,NC,1589461890,71,-20.23,164.02,23.22,3.81
sao gabriel,0,BR,1589461891,63,-30.34,-54.32,13.25,3.18
chebenki,20,RU,1589461891,43,51.93,55.71,22,3
inisa,0,NG,1589461891,46,7.85,4.33,35.54,0.96
umm lajj,100,SA,1589461892,39,25.02,37.27,32.04,3.67
grootfontein,0,NA,1589461892,19,-19.57,18.12,25.75,2.54
da nang,20,VN,1589461892,83,16.07,108.22,28,1.5
vao,14,NC,1589461892,75,-22.67,167.48,22.8,5.09
borujerd,36,IR,1589461892,17,33.9,48.75,25.45,1.42
samarkand,75,UZ,1589461714,68,39.65,66.96,18,4.1
kloulklubed,75,PW,1589461893,94,7.04,134.26,26,2.6
kaeo,99,NZ,1589461893,3,-35.1,173.78,12.78,0.89
vestmannaeyjar,75,IS,1589461893,93,63.44,-20.27,7,9.3
anloga,20,GH,1589461652,70,5.79,0.9,32,4.1
vilyuysk,100,RU,1589461894,92,63.76,121.62,4.1,4.28
innisfail,47,AU,1589461733,89,-17.53,146.03,21.36,2.4
bukama,10,CD,1589461894,35,-9.2,25.85,33.48,1.22
constitucion,0,CL,1589461692,57,-35.33,-72.42,13.05,2.46
kamaishi,0,JP,1589461895,71,39.27,141.88,11.87,3.37
hearst,100,CA,1589461895,84,49.68,-83.67,3.51,1.74
nisia floresta,90,BR,1589461596,100,-6.09,-35.21,25,4.1
bronnoysund,90,NO,1589461895,86,65.46,12.2,1,4.1
vila franca do campo,20,PT,1589461896,55,37.72,-25.43,17,5.7
atlantic beach,20,US,1589461896,64,30.33,-81.4,23.33,6.2
mizan teferi,88,ET,1589461896,73,6.98,35.58,24.45,1.15
heide,15,DE,1589461896,100,54.2,9.1,11.67,0.89
suhut,0,TR,1589461897,26,38.53,30.55,27,2.1
puerto madryn,79,AR,1589461757,43,-42.77,-65.04,12.96,6.5
bocas del toro,91,PA,1589461897,75,9.33,-82.25,26.72,1.55
sorland,90,NO,1589461897,77,67.67,12.69,1.83,3.18
bud,1,US,1589461898,93,39.45,-86.18,13.89,3.1
aksarka,69,RU,1589461898,85,66.56,67.8,9.44,6.68
conakry,40,GN,1589461898,70,9.54,-13.68,31,4.1
neuquen,86,AR,1589461898,45,-38.95,-68.06,2,1.5
visby,0,SE,1589461718,42,57.64,18.3,12.22,4.6
port augusta,0,AU,1589461899,66,-32.5,137.77,12,4.6
saint-augustin,99,CA,1589461899,77,51.23,-58.65,4.91,5.26
podor,0,MR,1589461899,16,16.65,-14.96,41,1
filingue,0,NE,1589461899,14,14.35,3.32,41.68,1.06
myitkyina,47,MM,1589461900,46,25.38,97.4,28.21,1.36
tshane,0,BW,1589461900,17,-24.02,21.87,24.39,1.51
huntsville,75,US,1589461827,72,34.73,-86.59,20,3.6
aljezur,100,PT,1589461900,87,37.32,-8.8,16.67,4.61
poros,0,GR,1589461901,46,37.5,23.45,30.56,2.68
richards bay,5,ZA,1589461890,55,-28.78,32.04,22.06,4.38
phalaborwa,0,ZA,1589461901,38,-23.94,31.14,24,3.6
colares,40,PT,1589461674,72,38.8,-9.45,17.22,2.1
la palma,1,US,1589461902,76,33.85,-118.05,15,2.1
shelburne,40,CA,1589461902,65,44.08,-80.2,7.22,1.5
cairns,75,AU,1589461902,83,-16.92,145.77,22,3.6
talaya,0,RU,1589461903,95,61.38,152.75,-0.06,1.03
sedalia,90,US,1589461903,93,38.7,-93.23,17.22,3.11
illintsi,40,UA,1589461903,56,49.1,29.22,20,4
hampton,90,US,1589461903,100,37.03,-76.35,15.56,1.5
urumqi,36,CN,1589461651,16,43.8,87.6,29,5
angoram,96,PG,1589461904,97,-4.06,144.07,24.52,0.6
godollo,20,HU,1589461904,52,47.6,19.36,21.11,4.1
woodward,1,US,1589461870,77,36.43,-99.39,20,8.7
balintore,75,GB,1589461640,71,57.76,-3.91,11.67,8.2
evensk,88,RU,1589461905,87,61.95,159.23,1.52,3.11
doctor mora,5,MX,1589461905,54,21.14,-100.31,18.33,2.6
barahona,75,DO,1589461905,100,18.21,-71.1,24,2.91
itupiranga,40,BR,1589461906,70,-5.13,-49.33,31,2.06
vista hermosa,20,MX,1589461906,59,19.52,-99.22,16.67,1.03
santa luzia,93,BR,1589461907,82,-19.77,-43.85,21,1.5
karratha,0,AU,1589461907,61,-20.74,116.85,20.98,3.09
tobe,100,JP,1589461907,60,33.74,132.79,20,1.5
parauna,79,BR,1589461907,70,-16.95,-50.45,23.39,1.13
tuy hoa,0,VN,1589461908,84,13.08,109.3,25.58,1.42
tabou,19,CI,1589461908,69,4.42,-7.35,30.23,2.82
taikang,0,CN,1589461908,31,46.83,124.42,15.4,4.79
samana,20,DO,1589461909,100,19.21,-69.34,24,2.2
alta,75,NO,1589461909,60,69.97,23.27,4,13.9
mae sai,20,TH,1589461909,74,20.43,99.88,26,2.1
fare,10,PF,1589461909,78,-16.7,-151.02,27.21,6.91
doha,0,QA,1589461645,36,25.29,51.53,37.78,6.2
sonoita,100,MX,1589461910,47,31.85,-112.83,17.78,1.93
dedza,82,MW,1589461910,43,-14.38,34.33,22.12,1.25
rantepao,100,ID,1589461910,91,-2.97,119.9,21,0.62
san juan,0,AR,1589461911,39,-31.54,-68.54,12.76,1.18
bissora,16,GW,1589461911,26,12.22,-15.45,38.91,2.77
chekmagush,17,RU,1589461911,59,55.13,54.66,12.61,4.98
kingsport,75,US,1589461731,87,36.55,-82.56,12.78,0.39
chapais,1,CA,1589461731,50,49.78,-74.85,1,1
jatiroto,20,ID,1589461912,88,-7.88,111.12,28,2.1
bafq,0,IR,1589461912,12,31.61,55.41,30.17,3.89
genhe,0,CN,1589461913,66,50.78,121.52,3.06,2.34
maku,5,IR,1589461916,35,39.29,44.45,19.97,2.43
lensk,100,RU,1589461916,74,60.73,114.93,3.84,3.79
lumphat,0,KH,1589461916,56,13.49,106.98,30.24,1.99
kavaratti,100,IN,1589461917,71,10.57,72.64,30.03,4.92
saint-francois,90,FR,1589461917,58,46.42,3.91,15,5.1
meulaboh,100,ID,1589461918,79,4.14,96.13,28.2,0.33
qujing,15,CN,1589461918,48,25.48,103.78,19.66,5.67
taoudenni,0,ML,1589461919,11,22.68,-3.98,37.4,4.43
thika,20,KE,1589461919,37,-1.03,37.07,28,5.7
kosh-agach,100,RU,1589461919,49,50,88.67,13.34,5.62
ambon,40,ID,1589461920,94,-3.7,128.18,26,3.6
keetmanshoop,0,NA,1589461920,16,-26.58,18.13,25,5.1
horta,75,PT,1589461920,77,38.53,-28.63,16,2.1
tamandare,88,BR,1589461921,74,-8.76,-35.1,28.82,5.13
mandalgovi,21,MN,1589461921,22,45.76,106.27,20.02,6.64
tricase,40,IT,1589461921,64,39.93,18.36,29,6.2
jaleswar,69,NP,1589461921,19,26.65,85.8,36.96,2.47
leningradskiy,73,RU,1589461922,97,69.38,178.42,-6.01,1.61
baoro,40,CF,1589461922,65,5.67,15.97,29.85,1.03
khasan,99,RU,1589461922,78,42.43,130.64,10.25,1.73
atmakur,67,IN,1589461923,28,15.88,78.58,36.44,6.43
ise,100,JP,1589461804,59,34.48,136.7,20.56,0.45
luanda,40,AO,1589461720,62,-8.84,13.23,32,2.1
kalangala,0,UG,1589461924,68,-0.31,32.23,24.1,3.59
tura,5,IN,1589461924,69,25.52,90.22,24.08,2.23
providencia,0,MX,1589461925,81,28.72,-111.58,16.11,1.34
nador,0,MA,1589461925,33,35.17,-2.93,23,4.6
bereda,68,ES,1589461925,81,43.27,-7.54,14.44,8.05
coquimbo,0,CL,1589461926,81,-29.95,-71.34,9,3.1
kuusankoski,20,FI,1589461926,70,60.91,26.62,9.44,1
dungarpur,0,IN,1589461926,14,23.83,73.72,39.26,5.47
santa cruz del sur,100,CU,1589461927,77,20.71,-78,26.63,7.23
dodge city,1,US,1589461927,82,37.75,-100.02,15.56,6.7
tacna,98,PE,1589461927,75,-18.01,-70.25,16.02,1.51
